	H2O	H+	Na+	K+	NH4+	Cl-	SO42-	HSO4-	NO3-	OH-	CO32-	HCO3-
H2O	0	105	733.286	535.023	54.0297	1523.39	752.879	602.252	998.92	600.495	328.141	118.702
H+	105	0	1010	1010	1010	1010	1010	1010	1010	1010	1010	1010
Na+	733.286	1010	0	-46.194	375.977	1443.23	845.135	469.488	797.474	1398.14	476.956	980.982
K+	535.023	1010	-46.194	0	184.288	1465.18	913.824	445.673	818.568	1805.75	1370.57	1123.44
NH4+	54.0297	1010	375.977	184.288	0	1385.31	677.178	418.886	807.246	2500	0	0
Cl-	1523.39	1010	1443.23	1465.18	1385.31	2214.81	2036.06	0	2175.02	1895.52	2372.94	2014.18
SO42-	752.879	1010	845.135	913.824	677.178	2036.06	1265.83	1004.16	1757.79	1225.67	1158.91	956.609
HSO4-	602.252	1010	469.488	445.673	418.886	0	1004.16	822.989	0	2500	2500	2500
NO3-	998.92	1010	797.474	818.568	807.246	2175.02	1757.79	0	2753.71	1379.95	0	0
OH-	600.495	1010	1398.14	1805.75	2500	1895.52	1225.67	2500	1379.95	1562.88	1339.04	2500
CO32-	328.141	1010	476.956	1370.57	0	2372.94	1158.91	2500	0	1339.04	1065.97	565.786
HCO3-	118.702	1010	980.982	1123.44	0	2014.18	956.609	2500	0	2500	565.786	253.461
