	H2O	H+	Na+	K+	NH4+	Cl-	SO42-	HSO4-	NO3-	OH-	CO32-	HCO3-
H2O	0	0	0.4872	0.9936	0.5855	14.631	9.4905	5.5499	9.3251	8.5455	-0.5059	0.96
H+	0	0	0	0	0	0	0	0	0	0	0	0
Na+	0.4872	0	0	0.119	-0.292	15.635	11.681	6.5329	9.3047	20.278	2.8191	13.296
K+	0.9936	0	0.119	0	1.0985	15.329	12.278	5.2231	10.302	27.283	5.0517	2.7217
NH4+	0.5855	0	-0.292	1.0985	0	14.848	10.356	5.1053	9.9705	0	0	0
Cl-	14.631	0	15.635	15.329	14.848	14.436	12.407	0	13.449	13.628	8.9402	11.636
SO42-	9.4905	0	11.681	12.278	10.356	12.407	8.3194	8.7877	6.9013	8.5902	6.7255	8.6656
HSO4-	5.5499	0	6.5329	5.2231	5.1053	0	8.7877	5.7939	0	0	0	0
NO3-	9.3251	0	9.3047	10.302	9.9705	13.449	6.9013	0	2.2866	6.6369	0	0
OH-	8.5455	0	20.278	27.283	0	13.628	8.5902	0	6.6369	5.6169	3.8129	0
CO32-	-0.5059	0	2.8191	5.0517	0	8.9402	6.7255	0	0	3.8129	-4.4653	-1.2033
HCO3-	0.96	0	13.296	2.7217	0	11.636	8.6656	0	0	0	-1.2033	1.2824
