pgid	pg	sgid	sg	mw	a	b	c	d	dh	dg	na	vc	tb	tf	tc	pc
1	CH3	1	CH3	15.034	19.5	-0.00808	0.000153	-9.67E-08	-76.45	-43.96	4	65	23.58	-5.1	0.0141	-0.0012
2	CH2	1	CH2	14.026	-0.909	0.095	-0.0000544	1.19E-08	-20.64	8.42	3	56	22.88	11.27	0.0189	0
3	CH	1	CH	13.018	-23	0.204	-0.000265	0.00000012	29.89	58.36	2	41	21.74	12.64	0.0164	0.002
4	C	1	C	12.01	-66.2	0.427	-0.000641	0.000000301	82.23	116.02	1	27	18.25	46.43	0.0067	0.0043
5	CH2=CH	2	CH2=CH	27.044	15.6	0.0669	0.0000757	-6.74E-08	28.34	52.3	5	102	43.14	4.409999	0.0242	-0.0034
6	CH=CH	2	CH=CH	26.036	-16	0.21	-0.0001926	7.12E-08	75.94	97.06	4	92	49.92	17.46	0.0258	-0.0012
7	CH2=C	2	CH2=C	26.036	-4.5	0.1699	-0.000134	0.000000043	74.36	96.13	4	94	42.32	6.82	0.023	-0.0017
8	CH=C	2	CH=C	25.028	-36.1	0.313	-0.0004023	1.816E-07	121.96	140.89	3	84	49.1	19.87	0.0246	0.0005
9	C=C	2	C=C	24.02	-56.2	0.416	-0.000612	0.000000292	167.98	184.72	2	76	48.28	22.28	0.0234	0.0022
10	ACH	3	ACH	13.018	-2.14	0.0574	-0.00000164	-1.59E-08	2.09	11.3	2	41	26.73	8.13	0.0082	0.0011
11	AC	3	AC	12.01	-8.25	0.101	-0.000142	6.78E-08	46.43	54.05	1	32	31.01	37.02	0.0143	0.0008
12	ACCH3	4	ACCH3	27.044	11.25	0.09292	0.000011	-2.89E-08	-30.02	10.09	5	97	54.59	31.92	0.0284	-0.0004
13	ACCH2	4	ACCH2	26.036	-9.159	0.196	-0.0001964	7.97E-08	25.79	62.47	4	88	53.89	48.29	0.0332	0.0008
14	ACCH	4	ACCH	25.028	-31.25	0.305	-0.000407	1.878E-07	76.32	112.41	3	73	52.75	49.66	0.0307	0.0028
15	OH	5	OH	17.008	25.7	-0.0691	0.000177	-9.88E-08	-208.04	-189.2	2	28	92.88	44.45	0.0741	0.0112
16	CH3OH	6	CH3OH	32.042	45.2	-0.07718	0.00033	-1.955E-07	-284.49	-233.16	6	93	116.46	39.35	0.0882	0.01
17	H2O	7	H2O	18.016	0	0	0	0	0	0	0	0	0	0	0	0
18	ACOH	8	ACOH	29.018	-11.06	0.212	-0.000258	1.172E-07	-175.22	-143.32	3	7	107.35	119.85	0.0383	0.0192
19	CH3CO	9	CH3CO	43.044	25.95	0.05892	0.0001173	-9.38E-08	-209.67	-164.46	6	127	100.33	56.1	0.0521	0.0019
20	CH2CO	9	CH2CO	42.036	5.541	0.162	-0.0000901	1.48E-08	-153.86	-112.08	5	118	99.63	72.47	0.0569	0.0031
21	CHO	10	CHO	29.018	30.9	-0.0336	0.00016	-9.88E-08	-162.03	-143.48	3	82	72.24	36.9	0.0379	0.003
22	CH3COO	11	CH3COO	59.044	44	0.03212	0.0001932	-1.419E-07	-414.37	-345.91	7	147	104.68	48.5	0.0622	-0.0007
