main;group;subgroup;no.;Ri;Qi;;;;;;;;
1;CH3;CH3;1;0.6325;1.0608;hexane;2;CH3.;4;CH3;;;
1;CH3;CH2;2;0.8325;0.7081;octane;2;CH3.;6;CH3;;;
1;CH3;CH;3;0.6325;0.3554;2·methyIpr0pane;3;CH3.;1;CH;;;
1;CH3;C;4;0.6325;0;neopentane;4;CH3.;1;C;;;
2;C=C;CH2=CH;5;1.2832;1.6016;1-hexene;1;CH3.;3;CH3.;1;CH3%IH;
2;C=C;CH=CH;6;1.2832;1.2489;2·hexene;2;CH3.;2;CH3.;1;CH-CH;
2;C=C;CH2=C;7;1.2832;1.2489;2-methyl-1-butene;2;CH3.;1;CH3.;1;CH3=¤C;
2;C=C;CH=C;8;1.2832;0.8962;2-methyl-2-butene;2;CH3.;1;CH-C;;;
3;ACH;ACH;9;0.3763;0.4321;naphthulene;8;ACH.;2;AC;;;
3;ACH;AC;10;0.3763;0.2113;styrene;1;CH3=CH.;5;ACH.;1;AC;
4;ACCH2;ACCH3;11;0.91;0.949;toluene;5;ACH.;1;ACCH3;;;
4;ACCH2;ACCH2;12;0.91;0.7962;ethylbenzene;1;CH3.;5;ACH.;I;ACCH3;
4;ACCH2;ACCH;13;0.91;0.3769;isopropylbenzene;2;CH3.;5;ACH.;1;ACCH;
5;OH;OH;14;1.2302;0.8927;1-propanol;2;CH3.;1;CH3.;1;OH;(p)
6;CH3OH;CH3OH;15;0.8585;0.9938;methanol;1;CH3OH;;;;;
7;H2O;H2O;16;1.7334;2.4561;water;1;H20;;;;;
8;ACOH;ACOH;17;1.08;0.975;phenol;5;ACH.;1;ACOH;;;
9;CH2CO;CH3CO;18;1.7048;1.67;2-bumone;1;CH3.;1;C1-1..;1;C1-13CO;
9;CH2CO;CH2CO;19;1.7048;1.5542;2-pentanone;2;CH3.;1;CH3.;1;CH3CO;
10;CHO;CHO;20;0.7173;0.771;propionic;aldhyde;1;CH3.;1;CH3.;1;CHO
11;CCOO;CH3COO;21;1.27;1.6286;butyl;acetate;1;CH3.;3;CH3.;1;CH3COO
