'UNIFAC group parameters,,,,,,
'ID,SUB_ID,Main groups,Group,Rk,Qk,example
1,1,CH2,CH3,0.9011,0.848,ethane:  2*CH3
1,2,CH2,CH2,0.6744,0.54,n-butane: 2*CH3 2*CH2
1,3,CH2,CH,0.4469,0.228,isobutane: 3*CH3 1*CH
1,4,CH2,C,0.2195,0,neopentane: 4*CH3 1*C
2,5,C=C,CH2=CH,1.3454,1.176,hexene-1: 1*CH3 3*CH2 1*CH2=CH
2,6,C=C,CH=CH,1.1167,0.867,hexene-2: 1*CH3 2*CH2 1*CH=CH
2,7,C=C,CH2=C,1.1173,0.988,2-methyl-1-butene: 2*CH3 1*CH2 1*CH2=CH
2,8,C=C,CH=C,0.8886,0.676,2-methyl-2-butene: 2*CH3 1*CH=C
2,9,C=C,C=C,0.6605,0.485,2.3-dimethylbutene: 4*CH3 1*C=C
3,10,ACH,ACH,0.5313,0.4,napthaline:  8*ACH 2*AC
3,11,ACH,AC,0.3652,0.12,styrene: 1*CH2=CH 5*ACH 1*AC
4,12,ACCH2,ACCH2,1.2663,0.968,toluene: 5*ACH 1*ACCH3
4,13,ACCH2,ACCH3,1.0396,0.66,ethylbenzene: 5*ACH 1*ACCH2 1*CH3
4,14,ACCH2,ACCH,0.8121,0.348,cumene: 2*CH3 5*ACH 1*ACCH
5,15,OH,OH,1,1.2,propanol-2: 2*CH3 1*CH 1*OH
6,16,MeOH,CH3OH,1.4311,1.432,methanol: 1*CH3OH
7,17,H2O,H2O,0.92,1.4,water: 1*H2O
8,18,ACOH,ACOH,0.8952,0.68,phenol: 5*ACH 1*ACOH
9,19,CH2CO,CH3CO,1.6724,1.448,butanone: 1*CH3 1*CH2 1*CH3CO
9,20,CH2CO,CH2CO,1.4457,1.18,pentanone-3: 2*CH3 1*CH2 1*CH2CO
10,21,CHO,CHO,0.998,0.948,propionaldehyde: 1*CH3 1*CH2 1*CHO
11,22,COOC,CH3COO,1.9031,1.728,butyl acetate: 1*CH3 3*CH2 1*CH3COO
11,23,COOC,CH2COO,1.6764,1.42,methyl propionate: 2*CH3 1*CH2COO
12,24,HCOO,HCOO,1.242,1.188,ethyl formate: 1*CH3 1*CH2 1*HCOO
13,25,CH2O,CH3O,1.145,1.088,dimethyl ether: 1*CH3 1*CH3CO
13,26,CH2O,CH2O,0.9183,0.78,diethyl ether: 2*CH3 1*CH2 1*CH2O
13,27,CH2O,CHO,0.6908,0.468,diisopropyl ether: 4*CH3 1*CH 1*CHO
13,28,CH2O,THF,0.9183,1.1,tetrahydrofuran: 3*CH2 1*THF
14,29,CNH2,CH3NH2,1.5959,1.544,methylamine:   1*CH3NH
14,30,CNH2,CH2NH2,1.3692,1.236,ethylamine    1*CH3 1*CH2NH2
14,31,CNH2,CHNH2,1.1417,0.924,isopropyl amine: 2*CH3 1*CHNH2
15,32,CNH,CH3NH,1.4337,1.244,dimethylamine: 1*CH3 1*CH3NH
15,33,CNH,CH2NH,1.207,0.936,diethylamine:  2*CH3 1*CH2 1*CH2NH
15,34,CNH,CHNH,0.9795,0.624,diisopropyl amine: 4*CH2 1*CH 1*CHNH
16,35,C3N,CH3N,1.1865,0.94,trimethylamine: 2*CH3 1*CH3N
16,36,C3N,CH2N,0.9597,0.632,triethylamine: 3*CH3 2*CH2 1*CH2N
17,37,ACNH2,ACNH2,1.06,0.816,aniline: 5*ACH 1*ACNH2
18,38,Pyridine,C5H5N,2.9993,2.113,pyridine: 1*C5H5N
18,39,Pyridine,C5H4N,2.8332,1.833,2-methylpyridine: 1*CH3 1*C5H4N
18,40,Pyridine,C5H3N,2.667,1.553,2 3-dimethylpyridine: 2*CH3 1*C5H3N
19,41,CCN,CH3CN,1.8701,1.724,acetonitrile: 1*CH3CN
19,42,CCN,CH2CN,1.6434,1.416,propionitrile: 1*CH3 1*CH2CN
20,43,COOH,COOH,1.3013,1.224,acetic acid: 1*CH3 1*COOH
20,44,COOH,HCOOH,1.528,1.532,formic acid:  1*HCOOH
21,45,CCl,CH2Cl,1.4654,1.264,butane-1-chloro: 1*CH3 2*CH2 1*CH2Cl
